Designator,Footprint,Quantity,Value,LCSC Part #
"_3, _2, ",,3,,
C1,0603-NO,1,0.01uF,
C10,0805,1,0.01uF,
"C11, C14, C16, C3, C4, C8",0603,6,0.1uF,
"C12, C13",0603,2,47pF,
"C15, C2, C21",0603-CAP,3,4.7uF,
"C17, C19, C20, C5, C6",0603,5,10uF,
C18,0603,1,1uF,
"C22, C9",0805,2,10nF,
C7,0805,1,4.7uF,
D1,SOD-123FL,1,DIODE_SOD-123FL,
D2,0805,1,LED,
D3,SOD-323,1,1N5819WS,
F1,PTC-1206,1,500mA,
IC1,TQFN-16,1,MAX98357A,
J1,TERMBLOCK_1X2-3.5MM,1,Battery (JST-PH),
J2,USB-C-16P,1,USB_C16PIN,
J3,TERMBLOCK_1X2-3.5MM,1,TERMBLOCK_1X2,
JP3,MICRO-SD-SOCKET-PP,1,USD_CONNECTOR,
JP6,1X09,1,PINHD-1X9,
L1,WE-TPC_2811_2813_OLD,1,4.7µH,
Q1,SOT23-3,1,"SSM3J338R,LF",C146352
Q2,SC70-6,1,MBT3904DW1T1,
Q3,TO252,1,XC6220B331MR-G,C86534
R1,0603,1,2K,
"R10, R11, R17, R18, R2, R20, R22, R23, R24, R29, R30, R4, R7, R8, R9",0603,15,10k,
"R12, R15",R0603,2,300k,
"R13, R14",0603,2,27,
"R16, R25, R26, R5, R6",R0603,5,100k,
"R19, R3",0603,2,5.1k,
R21,R0603,1,1M,
R27,0603,1,976k,
R28,0603,1,309k,
S1,TACTILE_SWITCH_SMD_4.6X2.8MM,1,RESET,
"S3, S4, S5",CHERRY-MX-LED,3,CHERRY-MX-LED,
SW1,OS102011MA1Q,1,~,
SW5,PEC11+SWITCH,1,PEC11,
U$1,SOT95P270X145-6N,1,MCP1640CT-I/CHY,
U1,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,1,MCP73831T-2ATI/OT,C14879
U2,ESP-WROOM-32,1,ESP-WROOM-32,
U4,SSOP20_L,1,FT231XS,
X2,4UCONN_19269,1,19269,
