Designator,Mid X,Mid Y,Rotation,Layer
_3,148.5,-133.0,0.0,top
_2,126.5,-96.0,0.0,top
,170.5,-96.0,0.0,top
C1,171.9011,-116.2036,180.0,top
C10,157.4011,-103.7036,270.0,top
C11,116.3011,-111.3036,0.0,top
C12,116.3011,-104.3036,0.0,top
C13,116.3011,-108.5036,0.0,top
C14,119.2011,-112.3536,90.0,top
C15,121.1,-112.3386,90.0,top
C16,124.1636,-101.9636,180.0,top
C17,147.9011,-127.1036,180.0,top
C18,147.0,-111.6,180.0,top
C19,154.6,-103.6,90.0,top
C2,150.9011,-122.9036,270.0,top
C20,172.1011,-100.4,0.0,top
C21,122.6555,-138.4034,0.0,top
C22,170.0011,-87.1036,270.0,top
C3,114.8011,-137.0036,180.0,top
C4,164.7011,-105.6036,270.0,top
C5,114.8011,-138.4036,180.0,top
C6,169.5011,-119.2036,90.0,top
C7,151.8011,-103.7036,270.0,top
C8,170.9011,-119.2036,90.0,top
C9,175.1011,-87.8036,180.0,top
D1,171.5011,-123.8036,270.0,top
D2,142.1,-101.0,0.0,top
D3,145.6011,-102.0036,180.0,top
F1,116.3011,-113.0036,0.0,top
IC1,166.7011,-120.8036,0.0,top
J1,160.7511,-136.0036,0.0,top
J2,110.4011,-106.5086,270.0,top
J3,179.6511,-136.0036,0.0,top
JP3,182.1011,-106.9786,270.0,top
JP6,142.0011,-122.0036,90.0,top
L1,148.1011,-119.3036,180.0,top
Q1,146.6511,-104.7036,270.0,top
Q2,131.3011,-102.7036,180.0,top
Q3,170.2011,-136.3036,90.0,top
R1,149.2011,-102.8036,180.0,top
R10,161.9011,-105.6036,90.0,top
R11,163.3011,-105.6036,270.0,top
R12,167.3011,-125.2036,0.0,top
R13,116.3011,-105.7036,0.0,top
R14,116.3011,-107.1036,0.0,top
R15,167.3011,-127.5,180.0,top
R16,172.1011,-102.2036,0.0,top
R17,133.3011,-102.7036,270.0,top
R18,129.3011,-102.7036,90.0,top
R19,116.3011,-102.9036,0.0,top
R2,171.5011,-87.0036,270.0,top
R20,120.0011,-87.7536,0.0,top
R21,169.5011,-122.4036,90.0,top
R22,154.7,-100.8,180.0,top
R23,139.0011,-87.7536,180.0,top
R24,158.0011,-87.7536,180.0,top
R25,171.9011,-114.1,0.0,top
R26,171.9011,-112.0036,0.0,top
R27,147.9011,-125.7036,0.0,top
R28,150.9011,-126.3036,90.0,top
R29,174.4,-137.0,180.0,top
R3,116.3011,-109.9036,0.0,top
R30,172.9011,-87.0036,270.0,top
R4,182.0011,-87.7536,180.0,top
R5,169.0,-105.6036,90.0,top
R6,166.9011,-105.6036,90.0,top
R7,142.6511,-104.6711,270.0,top
R8,119.5011,-138.4036,180.0,top
R9,124.2011,-100.5036,0.0,top
S1,137.6011,-102.7036,180.0,top
S3,120.0011,-78.80205,180.0,top
S4,139.0011,-78.80205,180.0,top
S5,158.0011,-78.80205,180.0,top
SW1,187.5011,-133.4536,90.0,top
SW5,177.0011,-78.5036,270.0,top
U$1,147.7011,-122.9036,0.0,top
U1,151.0,-99.2,0.0,top
U2,123.1511,-126.2036,180.0,top
U4,123.3461,-106.3086,180.0,top
X2,181.5261,-121.0036,180.0,top
